"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Europe et Asie centrale","ECS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","","","0.47","","0.59","","0.67","","1.06","","1.24","","1.31","","1.515","","1.775","","1.595","","1.15","",
"Équateur","ECU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","","0.28","","","0.24","","0.18","","0.27","","0.27","","0.39","","0.27","","0.28","","0.29","","0.29","","0.29","",
"Égypte, République arabe d’","EGY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07","0.09","","","0.12","","","0.12","","0.1","","0.08","","0.1","","0.12","","0.2","","0.19","","0.18","","0.25","","0.15","",
"Zone euro","EMU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.735","","","0.69","","0.68","","0.71","","1.11","","1.26","","1.41","","1.6","","1.81","","1.63","","1.21","",
"Érythrée","ERI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.29","","","0.19","","","0.23","","0.33","","0.25","","0.4","","0.81","","1.07","","1.07","","1.71","","3","","1.33","",
"Espagne","ESP","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","0.7","","0.65","","0.72","","1.1","","1.1","","1.28","","1.47","","1.75","","1.55","","1.13","",
"Estonie","EST","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","","","0.36","","0.55","","0.56","","0.94","","1.22","","1.3","","1.57","","1.76","","1.51","","1.14","",
"Éthiopie","ETH","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","0.19","","","0.24","","","0.25","","0.27","","0.32","","0.42","","0.62","","0.89","","0.78","","0.94","","0.89","","0.64","",
"Union européenne","EUU","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68","","","0.64","","0.68","","0.715","","1.12","","1.26","","1.405","","1.605","","1.83","","1.635","","1.2","",
"Fragile et les situations de conflit touchées","FCS","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.365","","0.4","","0.4","","0.675","","0.93","","1.05","","1.07","","1.22","","1.21","","0.84","",
"Finlande","FIN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","","0.79","","0.84","","0.8","","1.21","","1.26","","1.39","","1.6","","1.95","","1.78","","1.34","",
"Fidji","FJI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.37","","","","","","0.73","","0.94","","1.04","","","","1.29","","1.18","","0.67","",
"France","FRA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78","","","0.77","","0.82","","0.8","","1.25","","1.33","","1.45","","1.72","","1.78","","1.63","","1.2","",
"Îles Féroé","FRO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronésie, États fédérés de","FSM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.83","0.7","","","","","","0.39","","0.37","","0.53","","0.69","","0.39","","0.9","","","","0.91","","0.9","","0.79","",
"Royaume-Uni","GBR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85","","","1.11","","1.22","","1.2","","1.6","","1.73","","1.65","","1.98","","2.27","","1.99","","1.49","",
"Géorgie","GEO","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","","0.41","","0.67","","0.89","","1.16","","1.13","","1.37","","1.24","","0.74","",
"Ghana","GHA","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43","0.45","","","0.33","","","0.3","","0.19","","0.23","","0.43","","0.84","","0.9","","0.83","","0.95","","1.03","","0.85","",
"Gibraltar","GIB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinée","GIN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.61","0.56","","","","","","0.56","","0.69","","0.56","","0.69","","0.82","","1.02","","0.95","","1.34","","1.45","","0.9","",
"Gambie","GMB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.52","0.48","","","","","","0.63","","0.47","","0.4","","0.73","","1.01","","0.75","","","","","","1.29","","1.06","",
"Guinée-Bissau","GNB","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinée équatoriale","GNQ","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grèce","GRC","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","","0.4","","0.71","","0.68","","1.23","","1.19","","1.41","","1.78","","2.08","","1.63","","1.22","",
"Grenade","GRD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.41","","0.41","","0.41","","0.68","","0.89","","1.34","","1.02","","1.07","","","","1.04","",
"Groenland","GRL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25","","","0.28","","","0.32","","0.42","","0.32","","0.63","","0.64","","0.82","","0.85","","1.04","","0.9","","0.65","",
"Guam","GUM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyane","GUY","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.37","","0.27","","0.61","","","","0.85","","0.85","","1.05","","1.11","","0.78","",
